box_loss 	 obj_loss 	 cls_loss 	 Precision 	 Recall 	 mAP@0.5 	 mAP@0.5_.95 	 lr 
 0.1797 	 0.8106 	 0.0408 	 0.0568 	 0.0500 	 0.0204 	 0.0031 	 0.005960 
 0.1317 	 0.0795 	 0.0339 	 0.9998 	 0.0167 	 0.0216 	 0.0069 	 0.005920 
 0.1160 	 0.0658 	 0.0280 	 0.2480 	 0.6667 	 0.2800 	 0.0601 	 0.005881 
 0.1086 	 0.0606 	 0.0243 	 0.2980 	 0.5500 	 0.4268 	 0.1047 	 0.005841 
 0.1036 	 0.0577 	 0.0224 	 0.6510 	 0.5156 	 0.5406 	 0.1621 	 0.005801 
 0.1002 	 0.0538 	 0.0209 	 0.4660 	 0.6812 	 0.5187 	 0.1521 	 0.005761 
 0.0973 	 0.0528 	 0.0206 	 0.6687 	 0.6667 	 0.6679 	 0.2425 	 0.005722 
 0.0956 	 0.0513 	 0.0198 	 0.3834 	 0.4667 	 0.2681 	 0.0595 	 0.005682 
 0.0949 	 0.0499 	 0.0196 	 0.7164 	 0.7251 	 0.7507 	 0.2982 	 0.005642 
 0.0887 	 0.0477 	 0.0190 	 0.4400 	 0.5500 	 0.4969 	 0.1405 	 0.005602 
 0.0867 	 0.0474 	 0.0184 	 0.6924 	 0.7000 	 0.7187 	 0.2076 	 0.005563 
 0.0857 	 0.0492 	 0.0188 	 0.6055 	 0.8583 	 0.7368 	 0.2423 	 0.005523 
 0.0847 	 0.0464 	 0.0181 	 0.6160 	 0.4833 	 0.5200 	 0.1530 	 0.005483 
 0.0861 	 0.0467 	 0.0175 	 0.8411 	 0.6333 	 0.7220 	 0.2255 	 0.005443 
 0.0842 	 0.0459 	 0.0172 	 0.9535 	 0.2667 	 0.4089 	 0.0947 	 0.005404 
 0.0852 	 0.0456 	 0.0171 	 0.4404 	 0.5660 	 0.3818 	 0.0797 	 0.005364 
 0.0848 	 0.0442 	 0.0171 	 0.8477 	 0.6833 	 0.7299 	 0.2637 	 0.005324 
 0.0822 	 0.0445 	 0.0167 	 0.8133 	 0.7000 	 0.7964 	 0.3157 	 0.005284 
 0.0809 	 0.0446 	 0.0165 	 0.8453 	 0.7661 	 0.8496 	 0.2859 	 0.005245 
 0.0821 	 0.0445 	 0.0167 	 0.8816 	 0.7164 	 0.8069 	 0.2852 	 0.005205 
 0.0798 	 0.0435 	 0.0164 	 0.9278 	 0.8095 	 0.9013 	 0.3907 	 0.005165 
 0.0827 	 0.0427 	 0.0161 	 0.6186 	 0.8333 	 0.8329 	 0.2570 	 0.005125 
 0.0828 	 0.0417 	 0.0166 	 0.8730 	 0.7798 	 0.8665 	 0.3307 	 0.005086 
 0.0790 	 0.0423 	 0.0158 	 0.8072 	 0.8500 	 0.8720 	 0.3175 	 0.005046 
