box_loss 	 obj_loss 	 cls_loss 	 Precision 	 Recall 	 mAP@0.5 	 mAP@0.5_.95 	 lr 
 0.8355 	 0.9683 	 0.0421 	 0.0017 	 0.1333 	 0.0010 	 0.0003 	 0.005925 
 0.6901 	 0.1158 	 0.0395 	 0.6049 	 0.0333 	 0.0340 	 0.0081 	 0.005851 
 0.6435 	 0.0938 	 0.0377 	 0.0213 	 0.1167 	 0.0063 	 0.0013 	 0.005776 
 0.6132 	 0.0926 	 0.0362 	 0.0193 	 0.3833 	 0.0118 	 0.0026 	 0.005702 
 0.5838 	 0.0880 	 0.0344 	 0.6913 	 0.0333 	 0.0097 	 0.0019 	 0.005627 
 0.5763 	 0.0870 	 0.0334 	 0.3492 	 0.1167 	 0.0285 	 0.0062 	 0.005553 
 0.5843 	 0.0838 	 0.0323 	 0.0051 	 0.0667 	 0.0058 	 0.0010 	 0.005478 
 0.5541 	 0.0836 	 0.0313 	 0.7770 	 0.2000 	 0.0831 	 0.0327 	 0.005404 
 0.5492 	 0.0826 	 0.0308 	 0.7978 	 0.2167 	 0.1098 	 0.0394 	 0.005329 
 0.5502 	 0.0825 	 0.0303 	 0.3248 	 0.2000 	 0.0666 	 0.0219 	 0.005255 
 0.5330 	 0.0796 	 0.0299 	 0.2778 	 0.2500 	 0.1365 	 0.0299 	 0.005180 
 0.5224 	 0.0802 	 0.0295 	 0.1790 	 0.3833 	 0.1712 	 0.0378 	 0.005105 
 0.5136 	 0.0797 	 0.0290 	 0.8208 	 0.2167 	 0.1378 	 0.0556 	 0.005031 
 0.5218 	 0.0788 	 0.0282 	 0.8179 	 0.1833 	 0.1501 	 0.0452 	 0.004956 
 0.4966 	 0.0784 	 0.0278 	 0.7416 	 0.1160 	 0.0779 	 0.0131 	 0.004882 
 0.4811 	 0.0760 	 0.0270 	 0.4230 	 0.6274 	 0.4419 	 0.0966 	 0.004807 
 0.4783 	 0.0744 	 0.0265 	 0.5716 	 0.4667 	 0.4001 	 0.1092 	 0.004733 
 0.4929 	 0.0741 	 0.0267 	 0.6759 	 0.2500 	 0.0133 	 0.0038 	 0.004658 
 0.4804 	 0.0723 	 0.0269 	 0.6856 	 0.5816 	 0.5820 	 0.1599 	 0.004584 
